Size_MBytes,Cost_US,Year_released
3.75,34500,1956
7.5,57000,1959
10,36000,1960
7.25,25510,1964
29.176,30555,1966
100,25970,1970
2.4,6120,1973
200,37000,1974
0.0879,1000,1975
0.1758,529,1979
0.1992,695,1980
1.2,1225,1981
19,5495,1982
5,1595,1983
0.7031,398,1984
140,4395,1985
20,489,1986
30,449,1987
30,299,1988
60,449,1989
340,1795,1990
660,2695,1990
702,2295,1990
65,339,1990
200,849,1991
650,1994,1991
676,1895,1991
125,349,1991
1020,1995,1992
1020,1995,1992
1200,1949,1992
2000,2799,1992
1350,1799,1993
1500,1729,1993
1500,1459,1993
1350,969,1993
2000,1158,1994
3300,2169,1994
1800,964,1994
9000,3899,1994
9000,2399,1995
4200,1425,1995
9100,2259,1995
1300,278,1995
1270,259,1996
1300,249,1996
2500,319,1996
2000,276,1996
2000,276,1997
3100,349,1997
6510,369,1997
6510,315,1997
12056,425,1998
12056,359,1998
12056,349,1998
6400,159,1998
16800,379.98,1999
13600,254.33,1999
19000,208.99,1999
6000,289,1999
47000,695,2000
125000,5280,2000
17200,175,1999
17200,152,1999
40000,279,2000
61400,359,2000
30700,125,2000
81900,315,2001
81900,295,2001
60000,165,2001
100000,259,2001
160000,298,2002
160000,278,2002
160000,275,2002
120000,199,2002
120000,146,2002
81900,107,2003
81900,92,2003
81900,87,2003
120000,111,2004
160000,119,2004
120000,99,2004
81900,72,2004
200000,135.88,2004
160000,97.5,2004
250000,219,2005
200000,99.99,2005
,,2005
320000,130,2005
250000,80.97,2006
320000,69.99,2006
250000,65.93,2006
250000,69.99,2007
400000,105.93,2007
320000,79.99,2007
400000,84.99,2007
500000,104.99,2007
500000,104.99,2007
500000,99.99,2007
500000,104.99,2007
500000,99.99,2008
500000,99.99,2008
500000,89.99,2008
500000,74.99,2008
640000,84.99,2008
640000,84.99,2008
640000,74.99,2008
1000000,99.99,2008
750000,69.99,2009
1000000,87.99,2009
1000000,89.99,2009
1500000,129.99,2009
1000000,89.99,2009
1000000,74.99,2009
1000000,79.99,2009
1000000,69.99,2009
1500000,109.99,2010
1500000,109.99,2010
1000000,79.99,2010
1000000,74.99,2010
2000000,109.99,2010
2000000,109.99,2010
2000000,99.99,2010
2000000,99.99,2010
2000000,89.99,2010
2000000,79.99,2011
2000000,79.99,2011
2000000,79.99,2011
1500000,54.99,2011
1500000,59.99,2011
2000000,79.99,2011
2000000,157.27,2012
3000000,237.27,2012
3000000,193.85,2012
2000000,119.99,2012
3000000,159.27,2012
3000000,149.99,2012
2000000,109.99,2013
3000000,139.99,2013
3000000,129.99,2013
4000000,179.99,2013
3000000,134.99,2013
3000000,129.99,2013
3000000,128.99,2013
3000000,119.99,2013
3000000,119.99,2013
3000000,109.99,2014
3000000,109.99,2014
3000000,109.99,2014
3000000,104.99,2014
3000000,104.99,2014
3000000,104.99,2014
4000000,144.99,2014
3000000,99.99,2015
3000000,97.99,2015
3000000,84.99,2015
3000000,94.99,2015
3000000,89.99,2015
5000000,149.99,2015
3000000,89.99,2015
3000000,89.99,2015
4000000,129.99,2015
3000000,84.99,2015
4000000,124.99,2016
8000000,221.63,2016
4000000,119.95,2016
3000000,84.99,2016
4000000,124.99,2016
4000000,119.95,2016
