Size_Kbyte,Cost_US,Year
0.000976563,392,1957
0.000976563,64.8,1959
0.000976563,5,1960
0.000976563,2.52,1965
0.000976563,0.7,1970
12,4680,1973
0.000976563,0.3,1974
0.25,103,1975
1,176,1975
4,264,1975
4,195,1975
4,159,1976
16,765,1976
4,90,1976
8,250,1976
16,575,1977
64,1750,1978
16,460,1978
16,300,1978
64,1500,1978
8,125,1978
32,475,1978
32,329,1979
64,419,1979
64,405,1980
64,550,1981
64,279.95,1981
256,880,1982
64,279,1982
256,495,1982
256,599,1983
256,495,1983
384,517,1984
384,499,1984
512,440,1985
512,360,1985
512,275,1985
512,210,1985
2048,699,1985
2048,599,1985
2048,599,1985
2048,599,1985
2048,599,1986
2048,599,1986
2048,599,1986
2048,599,1986
3072,568.5,1986
3072,568.5,1986
3072,568.5,1986
3072,568.5,1986
3072,568.5,1986
3072,568.5,1986
3072,568.5,1986
3072,528.5,1987
3072,528.5,1987
3072,471,1987
4096,614.7,1987
4096,614.7,1987
4096,614.7,1987
4096,614.7,1987
4096,614.7,1987
3072,488.47,1987
3072,399,1987
3072,488.47,1987
3072,488.47,1987
3072,488.47,1988
3072,546.82,1988
3072,596.5,1988
3072,596.5,1988
3072,596.5,1988
3072,1514.5,1988
3072,1514.5,1988
3072,1514.5,1988
3072,1514.5,1988
3072,1514.5,1988
3072,1514.5,1989
3072,1514.5,1989
3072,1514.5,1989
3072,1514.5,1989
3072,1514.5,1989
3072,1032.82,1989
4096,789,1989
4096,753,1989
4096,753,1989
8192,1023,1989
10240,1169,1989
8192,905,1989
8192,851,1990
8192,786,1990
8192,786,1990
8192,716,1990
8192,662,1990
8192,649,1990
8192,572,1990
1024,59,1990
1024,51,1990
1024,45.5,1990
1024,44.5,1991
1024,44.5,1991
1024,45,1991
1024,45,1991
1024,45,1991
4096,175,1991
4096,175,1991
4096,165,1991
4096,185,1991
4096,180,1991
4096,159,1991
4096,159,1991
4096,145,1992
4096,145,1992
4096,145,1992
4096,139,1992
4096,120,1992
4096,130,1992
4096,134,1992
4096,124,1992
4096,110,1992
4096,105,1992
4096,105,1992
4096,105,1992
16384,529,1993
4096,110,1993
4096,110,1993
4096,110,1993
4096,110,1993
1024,30,1993
1024,30,1993
1024,30,1993
1024,30,1993
4096,144,1993
4096,159,1993
4096,143,1993
4096,143,1994
4096,143,1994
4096,144,1994
4096,149,1994
4096,149,1994
4096,149,1994
4096,154,1994
1024,37,1994
4096,136,1994
4096,134,1994
4096,129,1994
4096,129,1994
4096,129,1995
4096,128,1995
4096,128,1995
16384,499,1995
16384,499,1995
16384,498,1995
16384,499,1995
16384,489,1995
16384,529,1995
16384,529,1995
16384,494,1995
16384,494,1995
16384,478,1996
16384,460,1996
8192,209,1996
16384,395,1996
32768,550,1996
8192,119,1996
16384,180,1996
16384,145,1996
16384,135,1996
16384,128,1996
8192,42,1996
8192,42,1996
8192,37,1997
8192,29,1997
8192,24,1997
8192,24,1997
8192,24,1997
16384,59,1997
8192,32,1997
8192,33,1997
16384,58,1997
32768,109,1997
32768,104,1997
32768,69,1997
32768,69,1998
32768,29,1998
32768,31,1998
32768,39,1998
32768,38,1998
32768,31,1998
32768,33,1998
32768,31,1998
32768,37,1998
32768,27,1998
32768,27,1998
32768,46,1999
32768,27,1999
65536,79.99,1999
65536,79.99,1999
65536,54.99,1999
131072,99.99,1999
131072,111.14,1999
65536,66.49,1999
131072,170.99,1999
131072,300.59,1999
65536,99.89,2000
65536,94.49,2000
65536,69,2000
65536,53.99,2000
131072,89,2000
65536,57.59,2000
131072,99,2000
65536,53.99,2000
65536,68.39,2000
65536,71.99,2000
65536,71.99,2000
65536,57.59,2000
65536,47.69,2001
131072,59.39,2001
131072,59.39,2001
131072,49,2001
131072,49.49,2001
131072,39,2001
262144,89.99,2001
262144,69,2001
262144,49,2001
262144,49,2001
131072,21.59,2001
131072,18.89,2001
262144,34.19,2002
262144,53.09,2002
524288,99,2002
524288,99,2002
131072,42.29,2002
262144,49.49,2002
262144,49.49,2002
262144,45,2003
524288,39,2003
524288,64.5,2003
524288,59,2003
262144,33.99,2003
524288,65.99,2003
524288,72.99,2003
524288,75.99,2003
524288,81.99,2003
524288,84.99,2003
524288,89,2004
524288,76,2004
524288,75,2004
524288,80,2004
524288,104,2004
524288,90,2004
1048576,189,2005
1048576,153,2005
1048576,119,2005
1048576,189,2005
2097152,229.81,2006
2097152,148.99,2006
1048576,83.99,2006
2097152,149.99,2006
2097152,179.98,2006
2097152,199.99,2006
1048576,93.98,2006
1048576,83.98,2007
1048576,79.98,2007
2097152,134.98,2007
2097152,94.99,2007
2097152,78.98,2007
2097152,71.98,2007
2097152,65.98,2007
2097152,49.98,2007
2097152,49.95,2007
4194304,94.99,2008
2097152,44.99,2008
2097152,44.99,2008
4194304,84.98,2008
2097152,35.99,2008
2097152,29.99,2008
4194304,44.99,2008
4194304,39.99,2008
4194304,39.99,2009
2097152,21.99,2009
4194304,42.99,2009
4194304,46.99,2009
4194304,44.99,2009
4194304,51.99,2009
4194304,74.99,2009
2097152,41.99,2009
4194304,77.99,2010
4194304,82.78,2010
2097152,39.99,2010
4194304,98.98,2010
4194304,85.98,2010
4194304,89.99,2010
4194304,69.99,2010
4194304,59.99,2010
8388608,99.99,2010
4194304,40.98,2011
4194304,41.99,2011
8388608,81.99,2011
8388608,69.99,2011
4194304,21.99,2011
8388608,41.99,2011
8388608,39.99,2012
8388608,39.99,2012
8388608,40.99,2012
8388608,39.99,2012
16777216,77.99,2012
16777216,64.79,2012
8388608,29.99,2012
8388608,34.99,2013
16777216,88.99,2013
16777216,109.99,2013
8388608,49.99,2013
8388608,59.99,2013
8388608,52.99,2013
16777216,133.99,2013
8388608,69.99,2013
16777216,129.99,2013
4194304,38.99,2014
8388608,64.99,2014
4194304,29.99,2014
8388608,64.99,2014
8388608,69.99,2014
8388608,69.99,2014
4194304,34.99,2014
8388608,63.99,2015
8388608,59.99,2015
8388608,49.99,2015
16777216,91.99,2015
8388608,39.99,2015
16777216,73.99,2015
8388608,34.99,2015
16777216,68.99,2015
16777216,62.99,2015
16777216,59.99,2015
16777216,58.99,2016
16777216,49.99,2016
16777216,48.99,2016
16777216,44.99,2016
16777216,49.99,2016
16777216,57.99,2016
