Country Code,Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
ALB,ALBANIA,"6,661,799","4,985,848","5,458,592","10,421,458","11,877,548","7,512,599","9,937,954","8,698,241","9,837,856","13,719,409","17,875,015","12,805,622","12,190,471","14,976,226","11,235,955","12,645,434","8,914,721","13,761,320","28,377,011","34,770,971","24,620,236","12,209,781","2,731,425","3,721,865","1,141,782","1,602,666","3,521,338","319,511","2,754,413","704,038",0,0,0,0,0,0,0,0,0
ARG,ARGENTINA,0,0,0,0,"512,142","338,491","301,629","176,480","174,016","143,068","314,456","113,149","266,450","304,612","162,692","343,776","219,616","431,699","926,401","1,472,792","755,169","619,776","438,508",0,0,0,0,"44,897,695","150,422,562","169,120,512","154,156,811","162,573,191","170,935,508","199,450,549","414,571,217","587,204,793","1,319,241,148","1,386,275,107","1,378,883,556"
AUS,AUSTRALIA,"183,691,239","145,068,381","145,932,056","320,495,010","416,001,391","172,738,405","206,975,825","181,605,242","177,014,731","320,559,809","361,017,376","240,949,575","196,503,316","243,348,826","172,188,766","201,965,020","158,399,219","227,075,047","415,278,062","588,382,293","580,150,383","458,674,128","506,968,187","388,445,557","551,349,076","796,460,500","686,301,402","740,164,844","467,445,088","511,944,587","788,507,366","645,719,741","647,252,502","739,279,306","1,636,405,630","2,529,928,857","4,932,398,974","5,246,749,691","5,044,287,727"
AUT,AUSTRIA,"2,176,489","1,778,287","1,469,647","3,469,423","3,765,897","1,117,786","786,026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
BGR,BULGARIA,"45,086,103","32,028,580","30,879,335","56,429,217","64,315,228","31,640,562","37,670,810","32,972,421","32,428,994","53,617,431","58,925,374","42,215,124","33,011,797","37,852,911","30,212,765","31,963,442","27,040,846","40,137,537","69,419,322","80,785,250","61,364,073","72,037,708","68,141,874","64,228,751","107,755,669","151,251,579","125,359,619","135,066,019","75,746,360","75,097,381","95,642,955","72,793,058","75,890,044","90,032,960","185,060,776","255,552,831","534,031,440","571,145,832","550,135,162"
BOL,BOLIVIA,"8,258,469","4,387,786","4,321,765","9,352,980","10,052,691","2,253,739","2,635,600","1,133,406","717,471","1,342,660","1,556,292","981,356","360,144","606,380","187,122","289,330",0,0,"185,538","355,326","186,465",0,"44,942","13,608","31,295","115,727","34,065","88,551",0,0,"14,637",0,0,"4,112","95,221","113,637","253,082","305,627","351,613"
BRA,BRAZIL,"5,501,552","4,514,389","3,945,781","6,288,541","5,974,995","1,438,585","100,543",0,0,0,"2,201,195","15,727,651","21,671,265","32,593,435","28,633,783","35,237,021","29,428,516","43,493,654","83,005,499","99,729,056","68,720,350","58,723,743","58,175,418","47,422,271","57,620,104","99,332,458","66,248,570","58,964,291","30,430,283","25,249,039","33,747,449","25,553,811","25,707,780","27,425,618","54,990,273","74,729,482","145,400,595","147,341,672","135,030,829"
BWA,BOTSWANA,0,0,0,"684,364","4,580,973","2,362,791","6,356,448","4,144,016","3,741,101","10,890,464","12,777,974","6,718,512","2,881,148","6,154,755","2,514,451","3,693,215",0,"3,978,879","22,635,665","25,701,945","19,205,895","11,831,534","9,168,263","1,490,047","9,024,175","19,162,367","9,358,541","11,112,703",0,0,"2,791,237",0,0,"1,137,937","21,450,261","40,838,779","110,480,990","121,842,709","117,492,737"
CAN,CANADA,"706,540,424","531,124,117","560,000,779","1,191,622,765","1,351,243,013","570,358,159","683,847,118","612,791,591","515,907,555","848,228,151","1,049,300,102","707,729,098","479,988,574","596,601,391","515,335,271","562,056,820","432,233,962","766,216,144","1,336,079,081","1,426,402,819","1,390,092,442","1,143,764,679","1,012,310,785","690,113,317","802,756,322","1,358,289,676","882,471,798","880,132,488","527,507,095","415,036,558","588,879,324","456,075,561","429,584,331","483,920,292","1,066,983,137","1,533,624,760","3,470,154,287","3,553,749,650","3,485,876,821"
CHL,CHILE,"819,970,461","603,309,810","589,236,558","1,101,093,614","1,540,012,262","700,929,432","1,010,658,097","931,991,426","899,837,739","1,520,379,088","1,678,725,464","1,223,249,174","1,103,280,541","1,276,830,042","1,049,932,506","1,165,571,902","1,025,678,940","1,530,480,178","2,688,414,718","3,385,948,732","2,998,774,838","2,811,147,415","2,825,015,850","2,235,590,293","3,224,128,961","5,051,780,069","4,467,616,677","5,006,179,288","3,256,992,601","3,534,269,879","4,886,404,726","4,021,769,794","3,843,330,660","4,922,546,879","11,025,172,622","15,166,874,179","31,450,762,417","35,518,420,075","33,966,284,262"
CHN,CHINA,"110,897,273","80,022,918","77,316,220","161,906,408","188,294,841","78,245,033","107,185,420","88,038,316","80,751,893","163,693,494","185,453,383","116,050,777","79,132,109","103,386,161","71,796,841","89,834,899","57,239,504","196,752,225","481,791,996","465,587,179","390,325,873","294,584,125","287,214,746","166,193,646","326,172,040","607,277,710","351,617,828","439,946,962","159,654,120","127,995,214","311,981,673","188,855,356","180,875,282","265,401,348","886,060,861","1,692,802,051","4,663,069,436","5,132,819,469","5,410,649,132"
COG,CONGO,"112,578","388,966","1,038,087","1,965,403",0,"1,799,500","701,961","595,248","709,313","1,251,336","1,650,024","186,800","69,656","82,885",0,"67,892","367,100","1,107,241","1,610,511",0,0,0,0,0,0,0,0,"48,246,044",,,,,,,,,,,
COL,COLOMBIA,0,0,0,0,0,0,"155,035","247,933","128,120","820,514","1,146,741","264,211","15,658","30,319","23,390","17,019",0,"294,732",0,0,"279,697","1,895,343","988,734",0,"1,022,449","2,503,163","822,737","875,782",0,0,"274,373",0,0,"76,452","1,908,550","2,924,864","7,287,104","7,120,016","6,713,452"
CZE,CZECH Rep.,"5,803,969","3,214,596","3,003,192","5,525,377","15,787,798","5,980,156","6,073,840","5,282,299","4,138,535","9,207,759","6,743,759","2,867,137","1,946,614","2,838,979","2,074,131","2,290,790","1,352,934","2,923,176","6,250,275","6,849,159","4,748,811","2,519,469","859,153",0,0,0,0,0,,,,,,,,,,,
CUB,CUBA,"414,569",0,"1,150,159","2,698,440","4,200,423","1,676,679","2,072,251","1,476,772","1,413,158","2,864,636","3,709,068","1,979,690","1,177,022","1,596,926","1,076,953","1,392,441","858,593","1,967,522","3,906,422","4,358,556","2,638,228","1,938,053","1,288,729","961,491","2,388,634","2,728,112","1,601,539","886,990","427,962","261,754","685,036",0,0,0,0,0,0,0,0
CYP,CYPRUS,"17,930,120","11,216,888","10,734,814","18,246,595","17,381,062","5,533,042","7,145,695","3,407,935","2,725,376","1,227,701","1,348,752",0,"362,161","709,745","518,533","494,092","156,108","56,215","390,642","1,089,639","659,557","193,805","171,831","96,149",0,0,"1,351,699","3,459,260","1,563,597","1,201,666","2,644,974","1,615,728","1,122,664","1,087,710","3,966,313","4,415,386","5,733,383","1,929,334",
