method,type,name
crops,grain,barley
crops,grain,beans
crops,grain,canola
crops,grain,chickpeas
crops,grain,durum
crops,grain,lentils
crops,grain,linseed
crops,grain,lupins
crops,grain,oats
crops,grain,peas
crops,grain,ryecorn
crops,grain,safflower
crops,grain,triticale
crops,grain,vetch
crops,grain,wheat
trees,fruit,apple
trees,fruit,orange
trees,fruit,pear
trees,fruit,mandarin
trees,fruit,cherry
garden,vegetables,lettuce
garden,vegetables,rocket
garden,vegetables,tomato
garden,vegetables,carrot
box,vegetables,mushroom
