"name","yearpublished","minplayers","maxplayers","playingtime","minplaytime","maxplaytime"
"1775: Rebellion",2013,2,4,120,60,120
"1830: Railways & Robber Barons",1986,2,7,360,180,360
"1960: The Making of the President",2007,2,2,90,90,90
"1989: Dawn of Freedom",2012,2,2,150,150,150
"20 Squares",-3000,2,2,30,30,30
"7 Wonders",2010,2,7,30,30,30
"A Few Acres of Snow",2011,2,2,120,60,120
"A Game of Thrones (first edition)",2003,3,5,180,180,180
"A Game of Thrones: The Board Game (Second Edition)",2011,3,6,240,120,240
"A Game of Thrones: The Card Game",2008,2,4,60,60,60
"A Study in Emerald",2013,2,5,90,90,90
"Acquire",1962,3,6,90,90,90
"Advanced Squad Leader",1985,2,2,12000,180,12000
"Advanced Squad Leader: Starter Kit #1",2004,2,2,120,120,120
"Age of Empires III: The Age of Discovery",2007,2,5,120,90,120
"Age of Industry",2010,2,5,120,120,120
"Age of Steam",2002,1,6,120,120,120
"Agricola",2007,1,5,150,30,150
"Agricola:  All Creatures Big and Small",2012,2,2,30,30,30
"Airlines Europe",2011,2,5,75,75,75
"Alchemists",2014,2,4,120,120,120
"Alien Frontiers",2010,2,4,90,90,90
"Amerigo",2013,2,4,90,90,90
"Amun-Re",2003,3,5,90,90,90
"Android: Netrunner",2012,2,2,45,45,45
"Antike",2005,2,6,120,120,120
"Antiquity",2004,2,4,180,120,180
"AquaSphere",2014,2,4,100,100,100
"Arcadia Quest",2014,2,4,60,60,60
"Archipelago",2012,2,5,240,30,240
"Arkham Horror",2005,1,8,240,120,240
"Ascension: Deckbuilding Game",2010,1,4,30,30,30
"Ashtapada",-350,2,2,0,0,0
"At the Gates of Loyang",2009,1,4,120,60,120
"Attika",2003,2,4,60,60,60
"Automobile",2009,3,5,120,120,120
"Backgammon",-3000,2,2,30,30,30
"BANG! The Dice Game",2013,3,8,15,15,15
"Battle Cry",2000,2,2,45,45,45
"Battle Line",2000,2,2,30,30,30
"BattleCON: Devastation of Indines",2013,1,5,45,45,45
"BattleLore",2006,2,2,60,60,60
"BattleLore (Second Edition)",2013,2,2,90,90,90
"Battlestar Galactica",2008,3,6,240,120,240
"Belfort",2011,2,5,120,120,120
"Biblios",2007,2,4,30,30,30
"Blokus",2000,2,4,20,20,20
"Blood Bowl (Third Edition)",1994,2,2,180,180,180
"Blood Bowl: Living Rulebook",2004,2,2,120,120,120
"Blood Bowl: Team Manager  The Card Game",2011,2,4,90,90,90
"Blue Moon City",2006,2,4,60,60,60
"Bora Bora",2013,2,4,120,60,120
"Brass",2007,3,4,180,120,180
"Bruges",2013,2,4,60,60,60
"Bruxelles 1893",2013,2,5,125,50,125
"Camel Up",2014,2,8,30,20,30
"Carcassonne",2000,2,5,45,30,45
"Carcassonne: The Castle",2003,2,2,30,30,30
"Carson City",2009,2,5,90,90,90
"Castles of Mad King Ludwig",2014,1,4,90,90,90
"Catan",1995,3,4,90,90,90
"Caverna: The Cave Farmers",2013,1,7,210,30,210
"Caylus",2005,2,5,150,60,150
"Chaos in the Old World",2009,3,4,120,60,120
"Chicago Express",2007,2,6,60,60,60
"Citadels",2000,2,8,60,20,60
"Civilization",1980,2,7,360,360,360
"Clash of Cultures",2012,2,4,240,240,240
"Claustrophobia",2009,2,2,45,45,45
"CO",2012,1,5,120,120,120
"Coal Baron",2013,2,4,75,60,75
"Coloretto",2003,2,5,30,30,30
"Combat Commander: Europe",2006,2,2,180,60,180
"Combat Commander: Pacific",2008,2,2,180,180,180
"Commands & Colors: Ancients",2006,2,2,60,60,60
"Commands & Colors: Napoleonics",2010,2,2,90,90,90
"Concordia",2013,2,5,100,100,100
"Conflict of Heroes: Awakening the Bear!  Russia 1941-42",2008,1,4,120,120,120
"Cosmic Encounter",2008,3,5,120,60,120
"Coup",2012,2,6,15,15,15
"Crokinole",1876,2,4,30,30,30
"Cuba",2007,2,5,120,75,120
"Cuba Libre",2013,1,4,180,180,180
"Cyclades",2009,2,5,90,60,90
"Dead of Winter: A Crossroads Game",2014,2,5,210,45,210
"Defenders of the Realm",2010,1,4,90,90,90
"Descent: Journeys in the Dark",2005,2,5,240,240,240
"Deus",2014,2,4,90,60,90
"Die Macher",1986,3,5,240,240,240
"Diplomacy",1959,2,7,360,360,360
"Dixit",2008,3,6,30,30,30
"Dixit Odyssey",2011,3,12,30,30,30
"Dixit: Journey",2012,3,6,30,30,30
"Dominant Species",2010,2,6,240,120,240
"Dominion",2008,2,4,30,30,30
"Dominion: Intrigue",2009,2,4,30,30,30
"Dream Factory",2000,2,5,60,60,60
"Dune",1979,2,6,180,60,180
"Dungeon Lords",2009,2,4,90,90,90
"Dungeon Petz",2011,2,4,90,90,90
"DVONN",2001,2,2,30,30,30
"Earth Reborn",2010,2,4,180,180,180
"Eclipse",2011,2,6,200,60,200
"Egizia",2009,2,4,75,75,75
"Eight-Minute Empire: Legends",2013,2,4,32,16,32
"El Grande",1995,2,5,120,60,120
"Elder Sign",2011,1,8,90,90,90
"Eldritch Horror",2013,1,8,240,120,240
"Endeavor",2009,3,5,90,90,90
"Euphoria: Build a Better Dystopia",2013,2,6,60,60,60
"Evolution",2014,2,6,70,50,70
"Fan Tan",-600,3,8,5,5,5
"Fields of Arle",2014,1,2,120,60,120
"Finca",2009,2,4,45,45,45
"Fire in the Lake",2014,1,4,180,180,180
"Firefly: The Game",2013,1,4,120,120,120
"Five Stones",-2000,1,4,10,10,10
"Five Tribes",2014,2,4,80,40,80
"Flash Point: Fire Rescue",2011,1,6,45,45,45
"For Sale",1997,3,6,20,20,20
"Forbidden Desert",2013,2,5,45,45,45
"Francis Drake",2013,3,5,120,90,120
"Fresco",2010,2,4,60,60,60
"Friday",2011,1,1,25,25,25
"Fury of Dracula (second edition)",2005,2,5,180,180,180
"Galaxy Trucker",2007,2,4,60,60,60
"Gears of War: The Board Game",2011,1,4,180,180,180
"Ghost Stories",2008,1,4,60,60,60
"Ginkgopolis",2012,1,5,45,45,45
"Glass Road",2013,1,4,75,75,75
"Glen More",2010,2,5,70,45,70
"Glory to Rome",2005,2,5,60,60,60
"Go",-2200,2,2,90,90,90
"Goa",2004,2,4,90,90,90
"Hammer of the Scots",2002,2,2,180,120,180
"Hanabi",2010,2,5,25,25,25
"Hannibal: Rome vs. Carthage",1996,2,2,200,40,200
"Hansa Teutonica",2009,2,5,90,45,90
"Here I Stand",2006,2,6,360,360,360
"HeroQuest",1989,2,5,90,90,90
"Heroscape Master Set: Rise of the Valkyrie",2004,2,4,90,90,90
"History of the World",1991,3,6,180,180,180
"Hive",2001,2,2,20,20,20
"Hounds and Jackals: Game of the Pharaohs",-2000,2,2,20,20,20
"Imperial",2006,2,6,120,120,120
"Imperial 2030",2009,2,6,120,120,120
"Imperial Settlers",2014,1,4,90,45,90
"In the Year of the Dragon",2007,2,5,100,75,100
"Indonesia",2005,2,5,240,180,240
"Ingenious",2004,1,4,45,45,45
"Innovation",2010,2,4,60,60,60
"Istanbul",2014,2,5,60,40,60
"Jaipur",2009,2,2,30,30,30
"Jamaica",2007,2,6,60,30,60
"Jiroft",-2500,0,0,0,0,0
"Kanban: Automotive Revolution",2014,2,4,120,90,120
"Kemet",2012,2,5,120,90,120
"Keyflower",2012,2,6,120,90,120
"King of New York",2014,2,6,40,40,40
"King of Tokyo",2011,2,6,30,30,30
"Kingsburg",2007,2,5,90,90,90
"Knucklebones",-3000,2,2,0,0,0
"La Citt",2000,2,5,120,120,120
"La Granja",2014,1,4,120,90,120
"Labyrinth: The War on Terror, 2001 - ?",2010,1,2,180,180,180
"Lancaster",2011,2,5,60,60,60
"Last Will",2011,2,5,75,45,75
"Le Havre",2008,1,5,200,100,200
"Legendary Encounters: An Alien Deck Building Game",2014,1,5,45,45,45
"Legendary: A Marvel Deck Building Game",2012,1,5,45,45,45
"Legendary: Villains  Marvel Deck Building Game",2014,1,5,45,45,45
"Legends of Andor",2012,2,4,90,60,90
"Letters from Whitechapel",2011,2,6,120,120,120
"Lewis & Clark",2013,1,5,120,120,120
"Libertalia",2012,2,6,45,45,45
"Liubo",-700,2,2,0,0,0
"London",2010,2,4,90,90,90
"Lord of the Rings",2000,2,5,60,60,60
"Lord of the Rings: The Confrontation (Deluxe Edition)",2005,2,2,30,30,30
"Lords of Waterdeep",2012,2,5,60,60,60
"Lost Cities",1999,2,2,30,30,30
"Love Letter",2012,2,4,20,20,20
"Macao",2009,2,4,100,50,100
"Mage Knight Board Game",2011,1,4,150,150,150
"Mage Wars Arena",2012,2,2,90,90,90
"Magic: The Gathering",1993,2,2,20,20,20
"Mansions of Madness",2011,2,5,120,120,120
"Marbles",-3000,0,0,10,10,10
"Maria",2009,2,3,210,210,210
"Marvel Dice Masters: Avengers vs. X-Men",2014,2,2,15,15,15
"Marvel Dice Masters: Uncanny X-Men",2014,2,2,15,0,15
"Mehen",-2000,2,6,20,20,20
"Memoir '44",2004,2,2,60,30,60
"Merchant of Venus (second edition)",2012,1,4,240,120,240
"Merchants & Marauders",2010,2,4,180,180,180
"Mice and Mystics",2012,1,4,120,120,120
"Middle-Earth Quest",2009,2,4,180,180,180
"Modern Art",1992,3,5,45,45,45
"Mr. Jack in New York",2009,2,2,30,30,30
"Munchkin",2001,3,6,90,90,90
"Napoleon's Triumph",2007,2,2,180,180,180
"Nations",2013,1,5,200,40,200
"Navegador",2010,2,5,90,60,90
"Neuroshima Hex!",2006,2,4,30,30,30
"Nexus Ops",2005,2,4,90,90,90
"Nine Men's Morris",-1400,2,2,20,20,20
"Ninjato",2011,2,4,60,60,60
"Notre Dame",2007,2,5,75,45,75
"One Night Ultimate Werewolf",2014,3,10,10,10,10
"Ora et Labora",2011,1,4,150,150,150
"Pah Tum",-1800,2,2,0,0,0
"Pandemic",2007,2,4,45,45,45
"Pandemic",2007,2,4,45,45,45
"Pandemic",2007,2,4,45,45,45
"Pandemic: The Cure",2014,2,5,30,30,30
"Patchwork",2014,2,2,30,15,30
"Pathfinder Adventure Card Game: Rise of the Runelords  Base Set",2013,1,4,90,90,90
"Paths of Glory",1999,2,2,480,480,480
"Pax Porfiriana",2012,1,6,120,120,120
"Petteia",-100,2,2,20,20,20
"PitchCar",1995,2,8,30,30,30
"Power Grid",2004,2,6,120,120,120
"Princes of the Renaissance",2003,3,6,180,180,180
"Puerto Rico",2002,2,5,150,90,150
"Qwirkle",2006,2,4,45,45,45
"Ra",1999,2,5,60,45,60
"Race for the Galaxy",2007,2,4,60,30,60
"Railways of the World",2005,2,6,120,120,120
"Rex: Final Days of an Empire",2012,3,6,120,120,120
"Risk Legacy",2011,3,5,60,60,60
"Roads & Boats",1999,1,4,240,240,240
"Robinson Crusoe: Adventures on the Cursed Island",2012,1,4,180,90,180
"RoboRally",1994,2,8,120,20,120
"Rococo",2013,2,5,120,60,120
"Roll for the Galaxy",2014,2,5,45,45,45
"Roll Through the Ages: The Bronze Age",2008,1,4,45,30,45
"Runewars",2010,2,4,180,180,180
"Russian Railroads",2013,2,4,120,90,120
"Saint Petersburg",2004,2,4,60,45,60
"Samurai",1998,2,4,60,30,60
"San Juan",2004,2,4,60,45,60
"Schotten-Totten",1999,2,2,20,20,20
"Seasons",2012,2,4,60,60,60
"Sekigahara: The Unification of Japan",2011,2,2,180,180,180
"Senet",-3500,2,2,30,30,30
"Sentinels of the Multiverse",2011,1,5,60,30,60
"Seven Men's Morris",-1400,2,2,0,0,0
"Shadows of Brimstone: City of the Ancients",2014,1,4,120,120,120
"Shadows of Brimstone: Swamps of Death",2014,1,4,60,60,60
"Shadows over Camelot",2005,3,7,80,60,80
"Sheriff of Nottingham",2014,3,5,60,60,60
"Sherlock Holmes Consulting Detective",1981,1,8,120,60,120
"Shogun",2006,3,5,150,150,150
"Sid Meier's Civilization: The Board Game",2010,2,4,180,180,180
"Six Men's Morris",-1400,2,2,0,0,0
"Small World",2009,2,5,80,40,80
"Small World Underground",2011,2,5,90,30,90
"Smash Up: Awesome Level 9000",2013,2,4,45,45,45
"Snakes and Ladders",-200,2,6,30,30,30
"Space Alert",2008,1,5,30,30,30
"Space Hulk",1989,2,4,45,45,45
"Space Hulk (third edition)",2009,2,2,60,60,60
"Spartacus: A Game of Blood & Treachery",2012,3,4,150,150,150
"Specter Ops",2015,2,5,90,60,90
"Splendor",2014,2,4,30,30,30
"Star Realms",2014,2,2,20,20,20
"Star Trek: Attack Wing",2013,2,99,60,60,60
"Star Trek: Fleet Captains",2011,2,4,75,75,75
"Star Wars: Imperial Assault",2014,2,5,90,90,90
"Star Wars: The Card Game",2012,2,2,60,60,60
"Star Wars: X-Wing Miniatures Game",2012,2,4,60,60,60
"StarCraft: The Board Game",2007,2,6,180,180,180
"Steam",2009,3,5,90,90,90
"Stone Age",2008,2,4,90,60,90
"Struggle of Empires",2004,2,7,240,180,240
"Suburbia",2012,1,4,90,90,90
"Summoner Wars",2009,2,4,60,30,60
"Summoner Wars: Guild Dwarves vs Cave Goblins",2009,2,4,30,30,30
"Summoner Wars: Master Set",2011,2,4,30,30,30
"Summoner Wars: Phoenix Elves vs Tundra Orcs",2009,2,4,30,30,30
