CountryCode,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,2-alpha code,WB-2 code,Table Name,Short Name
ABW,Aruba,High income: nonOECD,Latin America & Caribbean,,,Aruban florin,2010,,SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.,2000,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,,,,Yes,,,2011,,AW,AW,Aruba,Aruba
ADO,Principality of Andorra,High income: nonOECD,Europe & Central Asia,,,Euro,2011. Population figures compiled from administrative registers.,,,1990,,Country uses the 1968 System of National Accounts methodology.,,,,,,Special trade system,,,,Yes,,,2006,,AD,AD,Andorra,Andorra
AFG,Islamic State of Afghanistan,Low income,South Asia,IDA,HIPC,Afghan afghani,1979,"Multiple Indicator Cluster Survey (MICS), 2010/11",Fiscal year end: March 20; reporting period for national accounts data: FY. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.,2002/03,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,,Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2008",,2013/14,,2011,2000,AF,AF,Afghanistan,Afghanistan
AGO,People's Republic of Angola,Upper middle income,Sub-Saharan Africa,IDA,,Angolan kwanza,1970,"Malaria Indicator Survey (MIS), 2011; Integrated Survey on Population Welfare (IBEP), 2008/09","Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2002.",2002,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),1991–96,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2000",,1964/65,,1991,2005,AO,AO,Angola,Angola
ALB,Republic of Albania,Upper middle income,Europe & Central Asia,IBRD,,Albanian lek,2011,"Demographic and Health Survey (DHS), 2009",,Original chained constant price data are rescaled.,1996,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),"Living Standards Measurement Study Survey (LSMS), 2008",Yes,,2009,2011,2006,AL,AL,Albania,Albania
ARB,Arab World,,,,,,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,,,,,,,,,,,,,,,,,,1A,1A,Arab World,Arab World
ARE,United Arab Emirates,High income: nonOECD,Middle East & North Africa,,,U.A.E. dirham,2010,,"Based on data from the National Bureau of Statistics, national accounts data have been revised for 2001 onward; the new base year is 2007.",2007,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),,,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Budgetary central government,General Data Dissemination System (GDDS),,,2012,,2008,2005,AE,AE,United Arab Emirates,United Arab Emirates
ARG,Argentine Republic,Upper middle income,Latin America & Caribbean,IBRD,,Argentine peso,2010,"Multiple Indicator Cluster Survey (MICS), 2011",,1993,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1971–84,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2011",Yes,2013,2002,2011,2000,AR,AR,Argentina,Argentina
ARM,Republic of Armenia,Lower middle income,Europe & Central Asia,Blend,,Armenian dram,2011,"Demographic and Health Survey (DHS), 2010",,Original chained constant price data are rescaled.,1996,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2010",Yes,2013/14,,2011,2007,AM,AM,Armenia,Armenia
ASM,American Samoa,Upper middle income,East Asia & Pacific,,,U.S. dollar,2010,,,,,Country uses the 1968 System of National Accounts methodology.,,,,,,Special trade system,,,,Yes,2007,,,,AS,AS,American Samoa,American Samoa
